Cognitive Science (COG SCI),COG SCI 1,Introduction to Cognitive Science,4
Cognitive Science (COG SCI),COG SCI N1,Introduction to Cognitive Science,3
Cognitive Science (COG SCI),COG SCI 98,Directed Group Study,1 - 4
Cognitive Science (COG SCI),COG SCI 99,Supervised Independent Study and Research,1 - 4
Cognitive Science (COG SCI),COG SCI C100,Basic Issues in Cognition,3
Cognitive Science (COG SCI),COG SCI C101,The Mind and Language,4
Cognitive Science (COG SCI),COG SCI C102,Scientific Approaches to Consciousness,3
Cognitive Science (COG SCI),COG SCI C103,History of Information,3
Cognitive Science (COG SCI),COG SCI C104,The Mind&#44; Language&#44; and Politics,4
Cognitive Science (COG SCI),COG SCI C126,Perception,3
Cognitive Science (COG SCI),COG SCI C127,Cognitive Neuroscience,3
Cognitive Science (COG SCI),COG SCI 131,Computational Models of Cognition,4
Cognitive Science (COG SCI),COG SCI C140,Quantitative Methods in Linguistics,4
Cognitive Science (COG SCI),COG SCI C142,Language and Thought,3
Cognitive Science (COG SCI),COG SCI C147,Language Disorders,3
Cognitive Science (COG SCI),COG SCI 190,Special Topics in Cognitive Science,3
Cognitive Science (COG SCI),COG SCI H195A,Special Study for Honors Candidates,1 - 3
Cognitive Science (COG SCI),COG SCI H195B,Special Study for Honors Candidates,1 - 3
Cognitive Science (COG SCI),COG SCI 198,Directed Group Study,1 - 4
Cognitive Science (COG SCI),COG SCI 199,Supervised Independent Study,1 - 4
Cognitive Science (COG SCI),COG SCI 201,Graduate Seminar on the Mind and Language,4
Cognitive Science (COG SCI),COG SCI 300,Teaching Cognitive Science,1 - 2
Celtic Studies (CELTIC),CELTIC R1A,Voices of the Celtic World,4
Celtic Studies (CELTIC),CELTIC R1B,Voices of the Celtic World,4
Celtic Studies (CELTIC),CELTIC 10,Intensive Modern Irish,8
Celtic Studies (CELTIC),CELTIC 15,Elementary Modern Irish,4
Celtic Studies (CELTIC),CELTIC S15F,Modern Irish Language:  Field Study Intensive,2
Celtic Studies (CELTIC),CELTIC 16,Introduction to Modern Welsh,4
Celtic Studies (CELTIC),CELTIC 70,The World of the Celts,4
Celtic Studies (CELTIC),CELTIC 85,Intermediate Modern Irish,4
Celtic Studies (CELTIC),CELTIC 86,Intermediate Modern Welsh,4
Celtic Studies (CELTIC),CELTIC 98,Directed Group Study,1 - 4
Chicano Studies (CHICANO),CHICANO 1AX,Reading and Composition,3
Celtic Studies (CELTIC),CELTIC 99,Supervised Independent Study and Research,1 - 4
Celtic Studies (CELTIC),CELTIC 105A,Old and Middle Irish,4
Celtic Studies (CELTIC),CELTIC 119A,Welsh and Arthurian Literature of the Middle Ages,4
Celtic Studies (CELTIC),CELTIC 119B,Welsh and Arthurian Literature of the Middle Ages,4
Celtic Studies (CELTIC),CELTIC 125,Irish Literature in Translation,4
Celtic Studies (CELTIC),CELTIC 128,Medieval Celtic Culture,4
Celtic Studies (CELTIC),CELTIC 129,Aspects of Modern Celtic Cultures and Folklore,4
Celtic Studies (CELTIC),CELTIC 138,Irish Literature,4
Chicano Studies (CHICANO),CHICANO R1A,Reading and Composition,4
Celtic Studies (CELTIC),CELTIC 139,Irish Literature,4
Celtic Studies (CELTIC),CELTIC 144A,Modern Welsh Level 3,4
Celtic Studies (CELTIC),CELTIC 144B,Modern Welsh Level 4,4
Chicano Studies (CHICANO),CHICANO R1AN,Reading and Composition,3
Chicano Studies (CHICANO),CHICANO R1B,Reading and Composition,4
Chicano Studies (CHICANO),CHICANO 5,Intensive Elementary Spanish Language and Latin American Culture,5
Chicano Studies (CHICANO),CHICANO 10,Intensive Intermediate Spanish Language and Mexican Culture,5
Celtic Studies (CELTIC),CELTIC 145A,Intermediate Irish Language,4
Celtic Studies (CELTIC),CELTIC 145B,Modern Irish Level Four,4
Celtic Studies (CELTIC),CELTIC 146A,Medieval Welsh Language and Literature,4
Celtic Studies (CELTIC),CELTIC 146B,Medieval Welsh Language and Literature,4
Celtic Studies (CELTIC),CELTIC 161,Celtic Linguistics,4
Celtic Studies (CELTIC),CELTIC C168,Celtic Mythology and Oral Tradition,4
Celtic Studies (CELTIC),CELTIC 170,Topics in Celtic Studies,4
Chicano Studies (CHICANO),CHICANO 20,Introduction to Chicano Culture,4
Chicano Studies (CHICANO),CHICANO 24,Freshman Seminar,1
Chicano Studies (CHICANO),CHICANO 39A,Freshman/Sophomore Seminar,1.5 - 4
Chicano Studies (CHICANO),CHICANO 40,Introduction to Chicano Literature in English,4
Chicano Studies (CHICANO),CHICANO 50,Introduction to Chicano History,4
Chicano Studies (CHICANO),CHICANO 70,Latino Politics,4
Chicano Studies (CHICANO),CHICANO 97,Field Study in Chicano Studies,1 - 3
Chicano Studies (CHICANO),CHICANO 98,Supervised Group Study,1 - 3
Chicano Studies (CHICANO),CHICANO 99,Supervised Independent Study and Research,1 - 4
Chicano Studies (CHICANO),CHICANO 110,Latina/o Philosophy and Religious Thought,4
Chicano Studies (CHICANO),CHICANO 130,Mexican and Chicano Art History,3
Chicano Studies (CHICANO),CHICANO 133,Chicano Music,4
Chicano Studies (CHICANO),CHICANO 135A,Latino Narrative Film: to the 1980s,4
Catalan (CATALAN),CATALAN 101,Catalan for Advanced Students,3
Classics (CLASSIC),CLASSIC 10A,Introduction to Greek Civilization,4
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 24,Freshman Seminars,1
Celtic Studies (CELTIC),CELTIC N170,Topics in Celtic Studies,4
Celtic Studies (CELTIC),CELTIC 171,Celtic Romanticism,4
Celtic Studies (CELTIC),CELTIC 173,Celtic Christianity,4
Celtic Studies (CELTIC),CELTIC H195A,Honors Course,3
Celtic Studies (CELTIC),CELTIC H195B,Honors Course,3
Celtic Studies (CELTIC),CELTIC 198,Directed Group Study,1 - 4
Celtic Studies (CELTIC),CELTIC 199,Supervised Independent Study and Research,1 - 4
Chicano Studies (CHICANO),CHICANO 135B,Latino Narrative Film Since 1990,4
Chicano Studies (CHICANO),CHICANO 135C,Latino Documentary Film,4
Chicano Studies (CHICANO),CHICANO 141,Chicana Feminist Writers and Discourse,4
Chicano Studies (CHICANO),CHICANO 142,Major Chicano Writers,4
Chicano Studies (CHICANO),CHICANO 143,Chicano and Latin American Literature,3
Chicano Studies (CHICANO),CHICANO 150B,History of the Southwest: Mexican-United States War to Present,4
Chicano Studies (CHICANO),CHICANO 159,Mexican Immigration,4
Chicano Studies (CHICANO),CHICANO 161,Central American Peoples and Cultures,4
Chicano Studies (CHICANO),CHICANO C161,Central American Peoples and Cultures,4
Chicano Studies (CHICANO),CHICANO 162,The U.S. Role in Central America,4
Chicano Studies (CHICANO),CHICANO 163,Caribbean Migration to Western Europe and the United States,4
